Name,Role,Organization,LinkedIn,Scraped
Amy Holm,Executive Director at The Climate Registry,"Green Energy Consumers Alliance, Inc ·",https://www.linkedin.com/in/amy-holm-ab9a354b/,2026-04-21
Josh Parker,Head of Sustainability,—,https://www.linkedin.com/in/joshuajparker/,2026-04-21
Erik Hansen,Workday | LinkedIn,—,https://www.linkedin.com/in/erikdhansen,2026-04-21
Vanessa Pizer,"Director, Climate Resilience ... - LinkedInEunice obala - Global Humanitarian-Development ... - LinkedInSonja Loosli - Country Director | International NGO ...Kathy Baughman McLeod - Founder & CEO, HERA ... - LinkedInHERA - LinkedInChristina Chan - Senior Director, Climate Hub - LinkedInZurich Climate Resilience Alliance - LinkedIn",—,https://www.linkedin.com/in/vanessa-pizer-61817521,2026-04-21
Eunice obala,"Global Humanitarian-Development ... - LinkedInSonja Loosli - Country Director | International NGO ...Kathy Baughman McLeod - Founder & CEO, HERA ... - LinkedInHERA - LinkedInChristina Chan - Senior Director, Climate Hub - LinkedInZurich Climate Resilience Alliance - LinkedIn",—,https://ke.linkedin.com/in/eunice-obala-14210760,2026-04-21
Sonja Loosli,Country Director | International NGO ...,—,https://kh.linkedin.com/in/sonja-loosli-development-vet-sustainability-csr/en,2026-04-21
Kathy Baughman McLeod,"Founder & CEO, HERA ... - LinkedInHERA - LinkedInChristina Chan - Senior Director, Climate Hub - LinkedInZurich Climate Resilience Alliance - LinkedIn",—,https://www.linkedin.com/in/kbmcleod,2026-04-21
Christina Chan,"Senior Director, Climate Hub - LinkedIn",—,https://www.linkedin.com/in/christinachan3,2026-04-21
Naderev Sano,Climate justice advocate | Non-profit ...Mafalda Duarte 님 - Executive Director of the Green Climate ...Julius Pasay - Executive Director at The Climate Trust | LinkedInDanielle Droitsch - Environmental Policy & Nonprofit Leader ...Helen Clarkson - Climate Group | LinkedInHelen Clarkson - Climate Group | LinkedInHelen Clarkson - Climate Group | LinkedInOur team - Climate Emergency Fund,Climate Emergency Fund,https://ph.linkedin.com/in/naderev-yeb-sano,2026-04-22
Danielle Droitsch,Environmental Policy & Nonprofit Leader ...,—,https://www.linkedin.com/in/danielledroitsch,2026-04-22
Heather Zanoni,Head of Sustainability and ESG Director | LinkedIn,the nexus of sustainability and technology,https://www.linkedin.com/in/heatherzanoni/,2026-04-22
Robert ter Kuile,Chief Sustainability Officer - McKesson,—,https://www.linkedin.com/in/robert-ter-kuile/,2026-04-22
Bruce Nilles,Executive Director - Climate Imperative | LinkedIn,The White House,https://www.linkedin.com/in/bruce-nilles-a4a20547,2026-04-23
Giana Amador,Absolute Climate | LinkedIn,—,https://www.linkedin.com/in/gianaamador/,2026-04-23
Sean Kosofsky,"The Nonprofit Fixer, Sean Kosofsky | LinkedIn",—,https://www.linkedin.com/in/kosofsky/,2026-04-23
Namita Asnani - Sustainability Practitioner I Head of ...Noelia Garcia Nebra,Head of sustainability & Partnerships ...Ariana Younai on LinkedIn: How Nonprofits Can Engage in ...,—,https://in.linkedin.com/in/namita-asnani,2026-04-23
Evan Hou,Seaside Sustainability (nonprofit) | LinkedIn,—,https://www.linkedin.com/in/ekhou,2026-04-23
Andrew Bacon,Non-profit Executive Director | LinkedIn,—,https://www.linkedin.com/in/andrew-bacon-evergreen-produce,2026-04-24
Julius Pasay,Executive Director at The Climate Trust | LinkedIn,The Climate Trust · · Experience: The Climate Trust · Education: Yale School of Forestry & Environmental Studies · Location: Portland · 500+ connections on LinkedIn,https://www.linkedin.com/in/julius-pasay-244a56b,2026-04-24
Niki King,Chief Sustainability Officer | LinkedInLinkedIn’s head of sustainability on unlocking its ‘superpowers’Excellent LinkedIn Chief Sustainability Officer ProfilesLinkedIn’s head of sustainability on unlocking its ‘superpowers’13 Sustainability Executive Moves in March 2026: New Hires ...Isabelle Mitchell - Head of Sustainability ... - LinkedInViswanaathan R. - CSR Head | IICA Certified ESG Leader ...,key sustainability executives and their latest career moves as of March 2026,https://www.linkedin.com/in/nikiking1,2026-04-24
Paula Pagniez,"Howden, Executive Director, Climate Risk and Resilience | Former FEMA National Advisory Council Member | Former United Nations' UNDRR ARISE Global Board Director | LinkedIn",—,https://www.linkedin.com/in/ppagniez/,2026-04-24
Heini Hirvonen,Head of Sustainability | LinkedIn,—,https://fi.linkedin.com/in/heini-hirvonen-122b2a6b,2026-04-25
Natalia Block,Head of Sustainability | LinkedIn,—,https://uk.linkedin.com/in/natalia-block-a2739267,2026-04-25
Helen Clarkson OBE,Chief Executive Officer at Climate Group ...Mafalda Duarte 님 - Executive Director of the Green Climate ...Climate Group - LinkedInOur team - Climate GroupAmy Holm - Executive Director at The Climate Registry | LinkedInJono Anzalone | Executive Director - The Climate Initiative ...,Climate Group,https://uk.linkedin.com/in/helenclarkson,2026-04-26
Mafalda Duarte 님,Executive Director of the Green Climate ...Climate Group - LinkedInOur team - Climate GroupAmy Holm - Executive Director at The Climate Registry | LinkedInJono Anzalone | Executive Director - The Climate Initiative ...,Climate Group,https://kr.linkedin.com/in/mafaldaduarte1,2026-04-26
Megan Anderson,Nonprofit Executive Director | LinkedIn,—,https://www.linkedin.com/in/megan-anderson-65a73441,2026-04-26
Michaela Wright - Skipton Group | LinkedInLinkedIn’s head of sustainability on unlocking its ‘superpowers’Isabelle Mitchell - Head of Sustainability ... - LinkedInNoelia Garcia Nebra,Head of sustainability & Partnerships ...Ariana Younai on LinkedIn: How Nonprofits Can Engage in ...,"LinkedIn, Peggy Brannigan has an ambitious remit: to help protect the planet and support green economic growth",https://uk.linkedin.com/in/mlwcs,2026-04-26
Isabelle Mitchell,Head of Sustainability ... - LinkedIn,—,https://uk.linkedin.com/in/isabelle-mitchell-62b1bb189,2026-04-26
Noelia Garcia Nebra,Head of sustainability & Partnerships ...,—,https://ch.linkedin.com/in/noeliagarcianebra,2026-04-26
Jessica Hyman,Chief Sustainability Officer at Atlassian | LinkedIn,"UNICEF, on a panel about utilizing AI for impact 🎉 Best of all…the Atlassian Foundation team announced that we will be expanding the discounted license program to social enterprise customers —bringing the best teamwork tools to the orgs doing mission-critical, life-changing work",https://www.linkedin.com/in/jessica-hyman-74baa919/,2026-04-26
Peggy Brannigan,Business Council on Climate Change (BC3) | LinkedIn,—,https://www.linkedin.com/in/peggybrannigan/,2026-04-26
